iter	Passed	Remaining
0	149	149246
1	153	76466
2	158	52658
3	164	40996
4	168	33549
5	174	28912
6	176	25078
7	182	22598
8	188	20747
9	195	19352
10	200	18023
11	206	16996
12	210	15963
13	216	15262
14	222	14623
15	226	13928
16	231	13409
17	236	12912
18	240	12420
19	244	11959
20	247	11551
21	250	11153
22	253	10767
23	256	10433
24	258	10095
25	261	9777
26	263	9489
27	265	9227
28	268	8985
29	270	8748
30	272	8528
31	275	8337
32	278	8160
33	281	8001
34	284	7837
35	286	7674
36	289	7536
37	291	7386
38	294	7256
39	297	7128
40	299	7005
41	301	6883
42	304	6769
43	306	6657
44	308	6554
45	311	6456
46	313	6363
47	316	6272
48	318	6187
49	321	6108
50	324	6030
51	326	5951
52	328	5873
53	330	5797
54	332	5719
55	335	5649
56	337	5588
57	340	5536
58	343	5476
59	345	5415
60	348	5359
61	350	5305
62	353	5257
63	355	5205
64	358	5156
65	361	5110
66	363	5061
67	365	5012
68	368	4977
69	371	4932
70	373	4888
71	376	4848
72	378	4805
73	381	4770
74	383	4729
75	385	4689
76	388	4651
77	390	4618
78	392	4580
79	395	4544
80	398	4516
81	400	4489
82	403	4456
83	406	4428
84	408	4402
85	411	4376
86	414	4349
87	417	4326
88	419	4297
89	422	4269
90	424	4243
91	427	4223
92	430	4196
93	432	4170
94	434	4143
95	437	4116
96	439	4091
97	441	4068
98	444	4046
99	447	4026
100	449	4002
101	451	3979
102	454	3958
103	457	3939
104	459	3919
105	462	3897
106	464	3879
107	467	3859
108	469	3839
109	472	3825
110	475	3806
111	478	3791
112	480	3773
113	483	3755
114	486	3741
115	489	3727
116	491	3713
117	494	3695
118	496	3678
119	499	3666
120	502	3649
121	505	3637
122	508	3625
123	511	3614
124	515	3606
125	517	3592
126	521	3583
127	524	3571
128	527	3558
129	530	3547
130	532	3532
131	536	3524
132	539	3516
133	542	3505
134	545	3492
135	547	3480
136	550	3469
137	553	3457
138	556	3446
139	559	3434
140	561	3421
141	564	3410
142	567	3399
143	570	3392
144	573	3379
145	575	3368
146	578	3358
147	582	3350
148	585	3342
149	586	3325
150	589	3313
151	592	3303
152	595	3295
153	597	3283
154	600	3276
155	604	3268
156	607	3259
157	609	3249
158	612	3238
159	614	3228
160	617	3216
161	619	3206
162	622	3196
163	625	3187
164	628	3181
165	630	3169
166	633	3159
167	636	3149
168	638	3138
169	640	3128
170	643	3121
171	646	3110
172	648	3101
173	651	3091
174	653	3081
175	656	3073
176	659	3064
177	661	3055
178	664	3047
179	666	3037
180	669	3028
181	671	3020
182	674	3010
183	676	3001
184	679	2993
185	681	2983
186	684	2975
187	686	2966
188	689	2957
189	691	2949
190	694	2940
191	696	2930
192	699	2924
193	701	2914
194	704	2907
195	706	2899
196	709	2890
197	711	2882
198	714	2874
199	717	2868
200	720	2862
